keyword,locale,cluster,source,source_detail,status,our_url,notes
extract mind map from youtube video,en,youtube,similarweb_competitor,mindmapai.app + mapify.so top100,live,/tools/youtube-to-mind-map,2026-08-13 上线
transkript yt ke teks rangkuman,id,youtube,similarweb_competitor,mindmapai.app + mapify.so top100,live,/tools/youtube-to-mind-map,2026-08-13 上线
mind map vocabulary,en,generic,similarweb_competitor,mindmapai.app + mapify.so top100,candidate,,
mind map questions,en,generic,similarweb_competitor,mindmapai.app + mapify.so top100,candidate,,
sigmund freud psychoanalytic theory mindmap,en,generic,similarweb_competitor,mindmapai.app + mapify.so top100,candidate,,
resumir ia,es,summarise,similarweb_competitor,mindmapai.app + mapify.so top100,candidate,,
best tool to make mind map,en,generic,similarweb_competitor,mindmapai.app + mapify.so top100,candidate,,
free mind map maker online,en,generic,similarweb_competitor,mindmapai.app + mapify.so top100,candidate,,
online mind map generator,en,generic,similarweb_competitor,mindmapai.app + mapify.so top100,candidate,,
tool to summarize text into mind map,en,summarise,similarweb_competitor,mindmapai.app + mapify.so top100,candidate,,
herramienta para hacer mapas conceptuales gratis,es,concept-map,similarweb_competitor,mindmapai.app + mapify.so top100,candidate,,
herramienta para mapas mentales online,es,generic,similarweb_competitor,mindmapai.app + mapify.so top100,candidate,,
transkript youtube,en,youtube,similarweb_competitor,mindmapai.app + mapify.so top100,live,/tools/youtube-to-mind-map,2026-08-13 上线
pagina de la que me puede reproducir un mapa mental,es,generic,similarweb_competitor,mindmapai.app + mapify.so top100,candidate,,
melhor para fazer resumos académicos,pt,summarise,similarweb_competitor,mindmapai.app + mapify.so top100,candidate,,
crear un mapa conceptual,es,concept-map,similarweb_competitor,mindmapai.app + mapify.so top100,candidate,,
con que ia se pueden generar mapas mentales a partir de,es,generic,similarweb_competitor,mindmapai.app + mapify.so top100,candidate,,
web video youtube,en,youtube,similarweb_competitor,mindmapai.app + mapify.so top100,live,/tools/youtube-to-mind-map,2026-08-13 上线
youtube文字起こしダウンロード,ja,youtube,similarweb_competitor,mindmapai.app + mapify.so top100,live,/tools/youtube-to-mind-map,2026-08-13 上线
youtube音声テキストサイト,ja,youtube,similarweb_competitor,mindmapai.app + mapify.so top100,live,/tools/youtube-to-mind-map,2026-08-13 上线
youtubeの音声の全文を表示する機能ない,ja,youtube,similarweb_competitor,mindmapai.app + mapify.so top100,live,/tools/youtube-to-mind-map,2026-08-13 上线
PDF in Mindmap umwandeln,de,pdf,our_live_page,已投放于工具页,live,,
Text in Mindmap umwandeln,de,text,our_live_page,已投放于工具页,live,,
Webseite in Mindmap umwandeln,de,generic,our_live_page,已投放于工具页,live,,
Word in Mindmap umwandeln,de,generic,our_live_page,已投放于工具页,live,,
EPUB in Mindmap umwandeln,de,generic,our_live_page,已投放于工具页,live,,
PowerPoint in Mindmap umwandeln,de,generic,our_live_page,已投放于工具页,live,,
PDF 转思维导图,zh-CN,pdf,our_live_page,已投放于工具页,live,,
文本转思维导图,zh-CN,markdown,our_live_page,已投放于工具页,live,,
网页转思维导图,zh-CN,markdown,our_live_page,已投放于工具页,live,,
Word 转思维导图,zh-CN,markdown,our_live_page,已投放于工具页,live,,
EPUB 转思维导图,zh-CN,markdown,our_live_page,已投放于工具页,live,,
PPT 转思维导图,zh-CN,markdown,our_live_page,已投放于工具页,live,,
PDF a mapa mental,es,pdf,our_live_page,已投放于工具页,live,,
texto a mapa mental,es,text,our_live_page,已投放于工具页,live,,
página web a mapa mental,es,generic,our_live_page,已投放于工具页,live,,
Word a mapa mental,es,generic,our_live_page,已投放于工具页,live,,
EPUB a mapa mental,es,generic,our_live_page,已投放于工具页,live,,
PowerPoint a mapa mental,es,generic,our_live_page,已投放于工具页,live,,
PDF en carte mentale,fr,pdf,our_live_page,已投放于工具页,live,,
texte en carte mentale,fr,text,our_live_page,已投放于工具页,live,,
page web en carte mentale,fr,generic,our_live_page,已投放于工具页,live,,
Word en carte mentale,fr,generic,our_live_page,已投放于工具页,live,,
EPUB en carte mentale,fr,generic,our_live_page,已投放于工具页,live,,
PowerPoint en carte mentale,fr,generic,our_live_page,已投放于工具页,live,,
PDF 마인드맵 변환,ko,pdf,our_live_page,已投放于工具页,live,,
텍스트 마인드맵 변환,ko,generic,our_live_page,已投放于工具页,live,,
웹페이지 마인드맵 변환,ko,generic,our_live_page,已投放于工具页,live,,
Word 마인드맵 변환,ko,generic,our_live_page,已投放于工具页,live,,
EPUB 마인드맵 변환,ko,generic,our_live_page,已投放于工具页,live,,
PPT 마인드맵 변환,ko,generic,our_live_page,已投放于工具页,live,,
PDF マインドマップ 変換,ja,pdf,our_live_page,已投放于工具页,live,,
テキスト マインドマップ 変換,ja,generic,our_live_page,已投放于工具页,live,,
ウェブページ マインドマップ 変換,ja,generic,our_live_page,已投放于工具页,live,,
Word マインドマップ 変換,ja,generic,our_live_page,已投放于工具页,live,,
EPUB マインドマップ 変換,ja,generic,our_live_page,已投放于工具页,live,,
PowerPoint マインドマップ 変換,ja,generic,our_live_page,已投放于工具页,live,,
text to mind map,en,text,our_live_page,已投放于工具页,live,,
web page to mind map,en,generic,our_live_page,已投放于工具页,live,,
word to mind map,en,generic,our_live_page,已投放于工具页,live,,
epub to mind map,en,generic,our_live_page,已投放于工具页,live,,
powerpoint to mind map,en,generic,our_live_page,已投放于工具页,live,,
mind map vs summary,en,summarise,our_live_page,已投放于工具页,live,,
